Year,Program,Category,Expense,Revenue
2010,311 Toronto,Contribution From Reserves/Reserve Funds,,
2010,311 Toronto,Contribution From Reserves/Reserve Funds,,
2010,311 Toronto,Contributions to Capital,,
2010,311 Toronto,Contribution To Reserves/Reserve Funds,21400,
2010,311 Toronto,Equipment,11000,
2010,311 Toronto,Federal Subsidies,,
2010,311 Toronto,Inter-Divisional Charges,100700,
2010,311 Toronto,Inter-Divisional Recoveries,,4291700
2010,311 Toronto,Materials & Supplies,48600,
2010,311 Toronto,Other Expenditures,,
2010,311 Toronto,Other Subsidies,,
2010,311 Toronto,Provincial Subsidies,,
2010,311 Toronto,Salaries And Benefits,14815300,
2010,311 Toronto,Service And Rent,2623400,
2010,311 Toronto,Sundry and Other Revenues,,
2010,311 Toronto,Transfers from Capital Fund,,4056300
2010,311 Toronto,User Fees & Donations,,
2011,311 Toronto,Contribution From Reserves/Reserve Funds,,
2011,311 Toronto,Contribution From Reserves/Reserve Funds,,
2011,311 Toronto,Contributions to Capital,,
2011,311 Toronto,Contribution To Reserves/Reserve Funds,21400,
2011,311 Toronto,Equipment,11400,
2011,311 Toronto,Federal Subsidies,,
2011,311 Toronto,Inter-Divisional Charges,258900,
2011,311 Toronto,Inter-Divisional Recoveries,,5107900
2011,311 Toronto,Materials & Supplies,58500,
2011,311 Toronto,Other Expenditures,,
2011,311 Toronto,Other Subsidies,,
2011,311 Toronto,Provincial Subsidies,,
2011,311 Toronto,Salaries And Benefits,16690600,
2011,311 Toronto,Service And Rent,2097200,
2011,311 Toronto,Sundry and Other Revenues,,
2011,311 Toronto,Transfers from Capital Fund,,4358700
2011,311 Toronto,User Fees & Donations,,
2012,311 Toronto,Contribution From Reserves/Reserve Funds,,
2012,311 Toronto,Contribution From Reserves/Reserve Funds,,
2012,311 Toronto,Contributions to Capital,,
2012,311 Toronto,Contribution To Reserves/Reserve Funds,22200,
2012,311 Toronto,Equipment,23800,
2012,311 Toronto,Federal Subsidies,,
2012,311 Toronto,Inter-Divisional Charges,262400,
2012,311 Toronto,Inter-Divisional Recoveries,,5260800
2012,311 Toronto,Materials & Supplies,20700,
2012,311 Toronto,Other Expenditures,,
2012,311 Toronto,Other Subsidies,,
2012,311 Toronto,Provincial Subsidies,,
2012,311 Toronto,Salaries And Benefits,16209200,
2012,311 Toronto,Service And Rent,1709800,
2012,311 Toronto,Sundry and Other Revenues,,
2012,311 Toronto,Transfers from Capital Fund,,3158600
2012,311 Toronto,User Fees & Donations,,
2013,311 Toronto,Salaries And Benefits,16838458.38,
2013,311 Toronto,Materials & Supplies,21019.4,
2013,311 Toronto,Equipment,19229.95,
2013,311 Toronto,Service And Rent,1713457.09,
2013,311 Toronto,Contribution To Reserves/Reserve Funds,22518.4,
2013,311 Toronto,Inter-Divisional Charges,256857.01,
2013,311 Toronto,Inter-Divisional Recoveries,,5046319.86
2013,311 Toronto,Transfers from Capital Fund,,3326186.57
2013,311 Toronto,Contribution From Reserves/Reserve Funds,,133800
2013,311 Toronto,Sundry and Other Revenues,,5251.87
2014,311 Toronto,Contribution To Reserves/Reserve Funds,22518.4,
2014,311 Toronto,Equipment,21357.01,
2014,311 Toronto,Inter-Divisional Charges,178526.48,
2014,311 Toronto,Materials & Supplies,17647.92,
2014,311 Toronto,Salaries And Benefits,15914821.38,
2014,311 Toronto,Service And Rent,1645756.12,
2014,311 Toronto,Inter-Divisional Recoveries,,5046320
2014,311 Toronto,Sundry and Other Revenues,,0.13
2014,311 Toronto,Transfers from Capital Fund,,2469286.75
2010,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,
2010,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,420400
2010,Affordable Housing Office,Contributions to Capital,,
2010,Affordable Housing Office,Contribution To Reserves/Reserve Funds,4500,
2010,Affordable Housing Office,Equipment,28400,
2010,Affordable Housing Office,Federal Subsidies,,
2010,Affordable Housing Office,Inter-Divisional Charges,287200,
2010,Affordable Housing Office,Inter-Divisional Recoveries,,221800
2010,Affordable Housing Office,Materials & Supplies,29500,
2010,Affordable Housing Office,Other Expenditures,,
2010,Affordable Housing Office,Other Subsidies,,
2010,Affordable Housing Office,Provincial Subsidies,,676000
2010,Affordable Housing Office,Salaries And Benefits,2566200,
2010,Affordable Housing Office,Service And Rent,306900,
2010,Affordable Housing Office,Sundry and Other Revenues,,
2010,Affordable Housing Office,Transfers from Capital Fund,,270000
2010,Affordable Housing Office,User Fees & Donations,,300000
2011,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,
2011,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,444500
2011,Affordable Housing Office,Contributions to Capital,,
2011,Affordable Housing Office,Contribution To Reserves/Reserve Funds,4500,
2011,Affordable Housing Office,Equipment,18900,
2011,Affordable Housing Office,Federal Subsidies,,
2011,Affordable Housing Office,Inter-Divisional Charges,294300,
2011,Affordable Housing Office,Inter-Divisional Recoveries,,238300
2011,Affordable Housing Office,Materials & Supplies,23000,
2011,Affordable Housing Office,Other Expenditures,,
2011,Affordable Housing Office,Other Subsidies,,
2011,Affordable Housing Office,Provincial Subsidies,,625000
2011,Affordable Housing Office,Salaries And Benefits,2319300,
2011,Affordable Housing Office,Service And Rent,214300,
2011,Affordable Housing Office,Sundry and Other Revenues,,
2011,Affordable Housing Office,Transfers from Capital Fund,,
2011,Affordable Housing Office,User Fees & Donations,,300000
2012,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,
2012,Affordable Housing Office,Contribution From Reserves/Reserve Funds,,327400
2012,Affordable Housing Office,Contributions to Capital,0,
2012,Affordable Housing Office,Contribution To Reserves/Reserve Funds,4643.07,
2012,Affordable Housing Office,Equipment,8214.2,
2012,Affordable Housing Office,Federal Subsidies,,250000
2012,Affordable Housing Office,Inter-Divisional Charges,326386,
2012,Affordable Housing Office,Inter-Divisional Recoveries,,121044
2012,Affordable Housing Office,Materials & Supplies,12224.96,
2012,Affordable Housing Office,Other Expenditures,0,
2012,Affordable Housing Office,Other Subsidies,,0
2012,Affordable Housing Office,Provincial Subsidies,,735000
2012,Affordable Housing Office,Salaries And Benefits,2076631.4,
2012,Affordable Housing Office,Service And Rent,152747.59,
2012,Affordable Housing Office,Sundry and Other Revenues,,0
2012,Affordable Housing Office,Transfers from Capital Fund,,0
2012,Affordable Housing Office,User Fees & Donations,,0
2013,Affordable Housing Office,Salaries And Benefits,2181727.12,
